randsum.gpu,63000,6912,27392,1308416
sumprefix.gpu,63000,4864,12288,964096
randsum.gpu,65000,6144,26368,1338624
sumprefix.gpu,65000,4608,13056,995840
randsum.gpu,67000,6400,27392,1387776
sumprefix.gpu,67000,4864,13568,1025536
randsum.gpu,69000,6144,28928,1425408
sumprefix.gpu,69000,4608,22784,1057536
randsum.gpu,71000,6400,30464,1481472
sumprefix.gpu,71000,4864,14592,1094912
randsum.gpu,73000,6400,29952,1504000
sumprefix.gpu,73000,4608,15104,1121024
randsum.gpu,75000,6656,31488,1542144
sumprefix.gpu,75000,4864,14848,1151232
randsum.gpu,77000,6400,31232,1597184
sumprefix.gpu,77000,4864,15616,1187328
randsum.gpu,79000,6400,31744,1634304
sumprefix.gpu,79000,4864,18176,1217536
randsum.gpu,81000,6912,35072,1684224
sumprefix.gpu,81000,5120,16128,1244928
randsum.gpu,83000,6400,40704,1718272
sumprefix.gpu,83000,4864,16640,1275904
randsum.gpu,85000,6656,33536,1757952
sumprefix.gpu,85000,5120,18176,1323776
randsum.gpu,87000,6912,34816,1788928
sumprefix.gpu,87000,5120,18432,1339904
randsum.gpu,89000,6912,34816,1838848
sumprefix.gpu,89000,4864,17920,1368576
randsum.gpu,91000,6144,36352,1871872
sumprefix.gpu,91000,5120,18944,1466368
randsum.gpu,93000,6912,37888,1925376
sumprefix.gpu,93000,4608,20480,1433856
randsum.gpu,95000,6912,37376,1964032
sumprefix.gpu,95000,5120,18688,1462528
randsum.gpu,97000,6656,37376,1996288
sumprefix.gpu,97000,4608,19712,1490688
randsum.gpu,99000,6656,44800,2041088
sumprefix.gpu,99000,5888,22016,1536512
randsum.gpu,1000,9216,1280,57856
sumprefix.gpu,1000,512,256,83968
randsum.gpu,3000,5376,256,104192
sumprefix.gpu,3000,256,256,80384
randsum.gpu,5000,2816,256,164096
sumprefix.gpu,5000,256,256,112128
randsum.gpu,7000,2816,256,232192
sumprefix.gpu,7000,256,256,154880
randsum.gpu,9000,2816,256,259840
sumprefix.gpu,9000,256,256,211200
randsum.gpu,11000,2816,5376,332800
sumprefix.gpu,11000,0,256,252928
randsum.gpu,13000,4864,7168,398336
sumprefix.gpu,13000,256,256,298752
randsum.gpu,15000,4096,9472,446208
sumprefix.gpu,15000,256,256,335104
randsum.gpu,17000,5632,11008,503296
sumprefix.gpu,17000,3328,5120,376576
randsum.gpu,19000,5120,11520,569856
sumprefix.gpu,19000,3328,5632,424192
randsum.gpu,21000,4864,8192,628224
sumprefix.gpu,21000,2304,5120,311296
randsum.gpu,23000,3072,6656,481536
sumprefix.gpu,23000,2048,6912,339456
randsum.gpu,25000,3840,7168,500992
sumprefix.gpu,25000,2304,6656,372480
randsum.gpu,27000,3072,7424,536832
sumprefix.gpu,27000,2048,6912,401152
randsum.gpu,29000,3328,7936,576512
sumprefix.gpu,29000,2048,7680,433920
randsum.gpu,31000,3072,8448,625664
sumprefix.gpu,31000,2048,8192,462336
randsum.gpu,33000,5632,17152,669184
sumprefix.gpu,33000,1792,8192,492800
randsum.gpu,35000,5888,19456,757504
sumprefix.gpu,35000,4096,6656,522752
randsum.gpu,37000,5888,15872,771328
sumprefix.gpu,37000,4352,6912,552704
randsum.gpu,39000,5632,20736,812032
sumprefix.gpu,39000,4352,7168,585472
randsum.gpu,41000,5888,16896,852480
sumprefix.gpu,41000,3840,8192,827904
randsum.gpu,43000,5632,17664,888064
sumprefix.gpu,43000,4096,8192,647936
randsum.gpu,45000,5888,18432,928768
sumprefix.gpu,45000,4096,7936,678656
randsum.gpu,47000,5888,23552,977664
sumprefix.gpu,47000,4608,8448,709888
randsum.gpu,49000,5888,20224,1016320
sumprefix.gpu,49000,4864,8960,749056
randsum.gpu,51000,6144,19968,1051392
sumprefix.gpu,51000,4096,9728,771584
randsum.gpu,53000,5632,23808,1106944
