randsum.mac,71000,13056,84992,1700096
sumprefix.mac,71000,1024,6144,764928
randsum.mac,73000,8960,88064,1714176
sumprefix.mac,73000,1024,7168,676864
randsum.mac,75000,9984,86016,1719040
sumprefix.mac,75000,0,4864,696064
randsum.mac,77000,8960,86016,1856000
sumprefix.mac,77000,0,6144,715008
randsum.mac,79000,8960,83968,1744896
sumprefix.mac,79000,0,11008,733952
randsum.mac,81000,32000,89088,2126080
sumprefix.mac,81000,1024,4864,751104
randsum.mac,83000,7936,83968,2051072
sumprefix.mac,83000,1024,5888,773888
randsum.mac,85000,9216,101120,2085888
sumprefix.mac,85000,0,4864,787968
randsum.mac,87000,7936,532992,1938176
sumprefix.mac,87000,4096,4864,977920
randsum.mac,89000,9984,90880,1967104
sumprefix.mac,89000,0,4864,827136
randsum.mac,91000,8960,99840,1993984
sumprefix.mac,91000,1024,5120,845056
randsum.mac,93000,7936,108032,2059008
sumprefix.mac,93000,1024,5888,867840
randsum.mac,95000,8960,99072,2120192
sumprefix.mac,95000,1024,6144,889088
randsum.mac,97000,9984,98048,2189056
sumprefix.mac,97000,0,5120,903936
randsum.mac,99000,8960,110848,2178816
sumprefix.mac,99000,0,5888,918016
randsum.mac,1000,1792,6912,30208
sumprefix.mac,1000,5120,1024,11008
randsum.mac,3000,768,0,75008
sumprefix.mac,3000,1024,1024,27904
randsum.mac,5000,0,17920,105216
sumprefix.mac,5000,103936,9216,126976
randsum.mac,7000,4864,4096,205056
sumprefix.mac,7000,1024,3840,68096
randsum.mac,9000,23040,4864,215040
sumprefix.mac,9000,1024,4096,84992
randsum.mac,11000,6144,6912,251904
sumprefix.mac,11000,0,3840,102912
randsum.mac,13000,6912,5120,291072
sumprefix.mac,13000,1024,5120,121856
randsum.mac,15000,7168,44800,358912
sumprefix.mac,15000,5120,18944,240896
randsum.mac,17000,28160,5888,628992
sumprefix.mac,17000,1024,5888,157952
randsum.mac,19000,13056,18944,473088
sumprefix.mac,19000,768,3072,178176
randsum.mac,21000,47872,18944,488960
sumprefix.mac,21000,1024,5120,200192
randsum.mac,23000,17920,33024,514048
sumprefix.mac,23000,9984,3072,237056
randsum.mac,25000,4864,32000,559104
sumprefix.mac,25000,1024,4864,233984
randsum.mac,27000,8192,44800,691968
sumprefix.mac,27000,1024,3840,261888
randsum.mac,29000,5888,44032,645120
sumprefix.mac,29000,1024,5120,292864
randsum.mac,31000,7168,43008,785920
sumprefix.mac,31000,1024,5120,289024
randsum.mac,33000,6144,72192,760832
sumprefix.mac,33000,1024,26880,502016
randsum.mac,35000,30976,53760,2051072
sumprefix.mac,35000,1024,5120,325888
randsum.mac,37000,9984,54016,837120
sumprefix.mac,37000,1024,6144,431872
randsum.mac,39000,8192,54016,907008
sumprefix.mac,39000,1024,5888,363008
randsum.mac,41000,8960,65024,1021952
sumprefix.mac,41000,1024,6144,421888
randsum.mac,43000,9216,49920,965888
sumprefix.mac,43000,1024,6144,421120
randsum.mac,45000,9984,57088,1020928
sumprefix.mac,45000,1024,6912,521984
randsum.mac,47000,7168,59904,1353984
sumprefix.mac,47000,1024,6144,471040
randsum.mac,49000,8960,59904,1100032
sumprefix.mac,49000,1024,5120,484096
randsum.mac,51000,9216,97024,1131008
sumprefix.mac,51000,1024,5888,798976
randsum.mac,53000,8960,56832,1182976
sumprefix.mac,53000,1024,6144,493056
randsum.mac,55000,9216,67072,1323776
sumprefix.mac,55000,0,5120,512000
randsum.mac,57000,8960,118016,1858816
sumprefix.mac,57000,1792,5888,688128
randsum.mac,59000,8960,78080,1436928
sumprefix.mac,59000,0,5888,750080
randsum.mac,61000,7936,76032,1735936
sumprefix.mac,61000,768,5888,602112
randsum.mac,63000,8960,67072,1550080
sumprefix.mac,63000,768,5120,585216
randsum.mac,65000,7936,73984,1510144
sumprefix.mac,65000,1024,6144,604160
randsum.mac,67000,9216,81152,1477888
